Area Type,Area Name,Period,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total Job Openings,Median Hourly Wage ,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9021,Personal Care Aides,203170,297260,94090,0.5,184880,163860,442840,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9031,Fitness Trainers and Aerobics Instructors,10870,12450,1590,0.1,6950,12410,20950,27.82,57868.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9032,Recreation Workers,14220,15670,1450,0.1,8910,15910,26270,17.20,35768.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9041,Residential Advisors,1990,2270,290,0.1,1170,2060,3520,17.87,37171.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,39-9099,"Personal Care and Service Workers, All Other",1400,1550,150,0.1,920,1230,2300,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-1011,First-Line Supervisors of Retail Sales Workers,39440,41000,1560,0.0,13900,30320,45780,20.65,42945.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,41-1012,First-Line Supervisors of Non-Retail Sales Workers,10850,10580,-270,-0.0,3470,6770,9970,34.53,71828.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,41-2011,Cashiers,111140,112850,1710,0.0,99950,111310,212970,15.62,32491.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-2021,Counter and Rental Clerks,24240,26020,1790,0.1,12720,19510,34020,15.89,33054.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-2031,Retail Salespersons,108950,113030,4080,0.0,63780,98330,166200,16.21,33726.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-3011,Advertising Sales Agents,5730,5640,-100,-0.0,1800,5920,7610,29.55,61455.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-3021,Insurance Sales Agents,10780,10390,-400,-0.0,3900,6390,9890,24.23,50401.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-3031,"Securities, Commodities, and Financial Services Sales Agents",14300,14270,-30,-0.0,3690,9840,13490,27.83,57890.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-3041,Travel Agents,3810,3470,-340,-0.1,2120,2720,4500,23.37,48614.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-3099,"Sales Representatives, Services, All Other",34340,36900,2560,0.1,10520,34590,47660,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",9470,9930,460,0.0,2950,7230,10640,44.54,92644.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",44690,45470,770,0.0,13710,33570,48060,30.55,63548.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9011,Demonstrators and Product Promoters,2470,2520,50,0.0,2520,1750,4320,20.31,42239.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9012,Models,200,220,10,0.1,210,150,370,20.36,42357.00,No formal educational credential,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9021,Real Estate Brokers,3760,4160,410,0.1,1790,1970,4170,27.43,57062.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9022,Real Estate Sales Agents,4190,4590,400,0.1,1990,2190,4580,30.74,63944.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9031,Sales Engineers,2190,2410,230,0.1,540,2000,2770,56.86,118278.00,Bachelor's degree,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9041,Telemarketers,3550,2830,-720,-0.2,1540,3470,4290,15.92,33126.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",4450,4030,-430,-0.1,2810,2390,4770,16.14,33553.00,No formal educational credential,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,41-9099,"Sales and Related Workers, All Other",7170,7920,750,0.1,3230,6600,10570,20.69,43032.00,High school diploma or equivalent,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,43-1011,First-Line Supervisors of Office and Administrative Support Workers,49540,50270,740,0.0,18710,33570,53020,30.21,62831.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,43-2011,"Switchboard Operators, Including Answering Service",3350,2570,-770,-0.2,1700,1970,2900,17.09,35546.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-2021,Telephone Operators,90,70,-20,-0.2,40,70,80,22.91,47646.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-2099,"Communications Equipment Operators, All Other",20,20,0,0.0,10,10,20,43.78,91059.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3011,Bill and Account Collectors,5950,5620,-330,-0.1,2250,4660,6570,23.39,48649.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3021,Billing and Posting Clerks,13660,15020,1360,0.1,5900,9670,16940,22.04,45840.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",57280,55680,-1600,-0.0,34360,31440,64200,24.19,50308.00,"Some college, no degree",None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3051,Payroll and Timekeeping Clerks,5220,5090,-130,-0.0,2430,3240,5540,27.21,56589.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3061,Procurement Clerks,2280,2140,-130,-0.1,760,1540,2160,22.12,46003.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-3071,Tellers,11130,9130,-2000,-0.2,4970,7250,10210,17.43,36256.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4011,Brokerage Clerks,2010,2120,110,0.1,980,1160,2240,28.44,59156.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4021,Correspondence Clerks,100,100,0,0.0,40,70,120,20.84,43340.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4031,"Court, Municipal, and License Clerks",2460,2470,10,0.0,1120,1170,2290,24.91,51824.00,High school diploma or equivalent,None,Long-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4041,"Credit Authorizers, Checkers, and Clerks",570,530,-40,-0.1,180,380,510,19.15,39828.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4051,Customer Service Representatives,55210,53420,-1800,-0.0,26080,46300,70590,19.19,39920.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4061,"Eligibility Interviewers, Government Programs",5530,5810,280,0.0,2190,3200,5660,28.28,58817.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4071,File Clerks,3970,3460,-510,-0.1,2150,2440,4080,17.01,35375.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4081,"Hotel, Motel, and Resort Desk Clerks",5680,5570,-110,-0.0,3080,6440,9420,15.37,31987.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4111,"Interviewers, Except Eligibility and Loan",5650,6020,370,0.1,2970,4220,7560,21.44,44603.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4121,"Library Assistants, Clerical",2200,2200,0,0.0,1750,1570,3320,16.87,35090.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4131,Loan Interviewers and Clerks,4560,4750,190,0.0,1740,2980,4910,23.16,48182.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4141,New Accounts Clerks,650,560,-90,-0.1,250,450,610,22.77,47364.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4151,Order Clerks,12200,11950,-250,-0.0,5060,8860,13670,17.75,36912.00,"Some college, no degree",None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",3670,3580,-90,-0.0,1320,2780,4010,22.32,46427.00,Associate's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4171,Receptionists and Information Clerks,29040,30700,1670,0.1,17390,22740,41790,16.13,33558.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,8340,8310,-30,-0.0,3470,5990,9420,18.94,39387.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-4199,"Information and Record Clerks, All Other",4860,5360,500,0.1,2480,3430,6410,24.78,51550.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5011,Cargo and Freight Agents,7840,9040,1200,0.2,3010,4990,9200,23.82,49545.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5021,Couriers and Messengers,4170,4820,650,0.2,1770,2510,4940,15.79,32844.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5031,"Police, Fire, and Ambulance Dispatchers",950,1000,40,0.0,340,580,970,33.47,69622.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",4850,5070,210,0.0,1740,2950,4900,19.63,40838.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5041,"Meter Readers, Utilities",490,440,-50,-0.1,200,260,410,26.31,54725.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5051,Postal Service Clerks,1950,1620,-330,-0.2,740,620,1030,22.74,47317.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5052,Postal Service Mail Carriers,9040,7510,-1530,-0.2,3020,3130,4610,32.00,66556.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",4230,3340,-890,-0.2,1740,1390,2240,23.73,49351.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5061,"Production, Planning, and Expediting Clerks",19340,20640,1310,0.1,6620,14200,22130,25.25,52530.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5071,"Shipping, Receiving, and Traffic Clerks",26780,26890,100,0.0,8970,17670,26740,17.13,35644.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5081,Stock Clerks and Order Fillers,65880,71030,5140,0.1,34640,56470,96260,0.00,0.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3270,3540,270,0.1,1560,2320,4140,15.83,32934.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-6011,Executive Secretaries and Executive Administrative Assistants,22850,19090,-3770,-0.2,10750,12720,19700,35.13,73067.00,High school diploma or equivalent,Less than 5 years,None
Regional Planning Unit,Los Angeles Basin,2018-2028,43-6012,Legal Secretaries,8980,7300,-1680,-0.2,4170,4940,7430,30.68,63799.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-6013,Medical Secretaries,20110,23760,3650,0.2,11240,13310,28210,22.03,45807.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",69770,65510,-4270,-0.1,34670,41040,71440,22.03,45815.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9011,Computer Operators,680,520,-170,-0.2,290,440,560,0.00,0.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9021,Data Entry Keyers,5780,4520,-1260,-0.2,2320,3620,4680,18.04,37506.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9022,Word Processors and Typists,4820,3250,-1570,-0.3,2420,2480,3340,22.16,46087.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9031,Desktop Publishers,360,290,-70,-0.2,140,240,310,30.47,63390.00,Associate's degree,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9041,Insurance Claims and Policy Processing Clerks,9450,9280,-160,-0.0,3460,5850,9150,22.68,47185.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",1320,1270,-50,-0.0,620,810,1380,16.32,33933.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9061,"Office Clerks, General",100160,98840,-1320,-0.0,55620,63470,117780,18.72,38932.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9071,"Office Machine Operators, Except Computer",2210,1980,-230,-0.1,1260,1410,2440,15.15,31509.00,High school diploma or equivalent,None,Short-term on-the-job training
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9081,Proofreaders and Copy Markers,910,970,60,0.1,590,660,1310,25.62,53300.00,Bachelor's degree,None,None
Regional Planning Unit,Los Angeles Basin,2018-2028,43-9111,Statistical Assistants,260,300,40,0.1,120,230,380,23.10,48057.00,Bachelor's degree,None,None
